line_id,order_id,book_id,price
81353,10245,2836,17.18
81354,10756,5908,1.55
81355,11267,8832,14.73
81356,11394,3366,6.04
81357,11,6715,2.21
81358,4106,8267,7.65
81359,6153,7615,5.48
81360,8200,3522,15.21
81361,9223,9499,19.73
81362,10246,4129,17.92
81363,10757,4075,2.87
81364,11268,6883,13.25
81365,11395,5080,5.90
81366,12,1183,12.92
81367,13,10135,12.33
81368,4107,3885,17.93
81369,4108,4846,9.76
81370,6154,1477,4.00
81371,6155,6696,8.17
81372,8201,2654,19.32
81373,8202,1285,13.57
81374,9224,520,3.95
81375,9225,9434,12.93
81376,10247,7661,10.07
81377,10248,5021,14.92
81378,10758,4185,12.85
81379,10759,951,9.98
81380,11269,2644,13.83
81381,11270,8294,13.04
81382,11396,261,3.23
81383,11397,8204,4.04
81384,14,8870,7.60
81385,4109,5673,8.17
81386,6156,5704,6.75
81387,8203,1679,14.82
81388,9226,2814,0.82
81389,10249,4969,2.19
81390,10760,2323,14.29
81391,11271,10533,11.79
81392,11398,1188,15.32
81393,15,5666,4.97
81394,4110,7942,16.48
81395,6157,10880,8.35
81396,8204,1719,10.39
81397,9227,1496,2.27
81398,10250,1818,9.54
81399,10761,9949,0.80
81400,11272,5767,9.42
81401,11399,8896,11.69
81402,16,5841,17.41
81403,4111,8662,5.61
81404,6158,741,9.83
81405,8205,2875,16.33
81406,9228,3435,1.87
81407,10251,6013,8.44
81408,10762,5437,3.54
81409,11273,4666,11.31
81410,11400,6345,3.08
81411,17,661,16.70
81412,18,11081,9.50
81413,4112,4307,10.21
81414,4113,4353,8.49
81415,6159,10560,9.43
81416,6160,5682,2.77
81417,8206,1789,7.76
81418,8207,5097,2.52
81419,9229,2841,17.98
81420,9230,8110,18.95
81421,10252,6121,18.17
81422,10253,9920,14.64
81423,10763,10981,14.75
81424,10764,8095,8.49
81425,11274,10464,8.57
81426,11275,3565,6.34
81427,11401,6934,3.30
81428,11402,10646,5.75
81429,19,6327,19.60
81430,4114,2154,0.56
81431,6161,6232,14.31
81432,8208,9998,6.91
81433,9231,353,2.44
81434,10254,5738,4.24
81435,10765,5703,18.53
81436,11276,1070,14.01
81437,11403,2384,19.39
81438,20,2272,2.25
81439,21,10581,8.33
81440,4115,2549,17.92
81441,4116,8835,5.62
81442,6162,270,5.55
81443,6163,3506,14.85
81444,8209,8550,12.27
81445,8210,8488,19.46
81446,9232,6424,19.34
81447,9233,1152,12.32
81448,10255,8576,0.09
81449,10256,7917,10.86
81450,10766,6474,5.58
81451,10767,7241,8.32
81452,11277,1420,7.80
81453,11278,6317,13.36
81454,11404,7099,3.70
81455,11405,137,10.11
81456,22,5462,18.75
81457,23,2402,5.32
81458,4117,7603,12.36
81459,4118,442,6.89
81460,6164,6724,19.75
81461,6165,1377,13.13
81462,8211,10154,11.85
81463,8212,2492,6.86
81464,9234,470,3.65
81465,9235,8753,7.70
81466,10257,6295,13.46
81467,10258,7440,6.48
81468,10768,6820,1.86
81469,10769,6974,17.09
81470,11279,4361,7.92
81471,11280,8957,16.73
81472,11406,8531,6.49
81473,11407,3589,12.78
81474,24,2533,4.42
81475,4119,4687,8.87
81476,6166,10612,8.76
81477,8213,3665,6.65
81478,9236,7511,7.54
81479,10259,9581,3.47
81480,10770,3161,18.00
81481,11281,7215,10.83
81482,11408,8483,3.74
81483,25,7222,13.67
81484,4120,5240,6.07
81485,6167,1169,12.29
81486,8214,8435,18.92
81487,9237,5081,8.89
81488,10260,9496,18.66
81489,10771,1167,14.51
81490,11282,3472,7.68
81491,11409,10946,15.34
81492,26,9827,2.30
81493,4121,10296,5.63
81494,6168,7039,6.36
81495,8215,7690,10.04
81496,9238,4870,13.63
81497,10261,1056,8.59
81498,10772,9609,0.57
81499,11283,6150,13.55
81500,11410,8118,12.30
81501,27,9874,11.82
81502,4122,3261,13.85
81503,6169,6482,16.71
81504,8216,4782,12.85
81505,9239,10261,13.68
81506,10262,7272,4.31
81507,10773,1310,18.83
81508,11284,3937,18.90
81509,11411,7380,9.63
81510,28,4644,12.85
81511,4123,10687,17.49
81512,6170,5468,16.67
81513,8217,7714,19.31
81514,9240,8329,16.91
81515,10263,10928,7.48
81516,10774,10268,9.85
81517,11285,7725,19.87
81518,11412,9855,8.94
81519,29,6434,11.00
81520,30,175,8.56
81521,4124,1038,3.64
81522,4125,7016,12.13
81523,6171,1559,17.63
81524,6172,10990,5.87
81525,8218,5612,12.82
81526,8219,7706,10.79
81527,9241,6891,9.56
81528,9242,5933,4.62
81529,10264,6194,1.79
81530,10265,8659,12.44
81531,10775,8623,0.18
81532,10776,8007,11.42
81533,11286,7760,15.46
81534,11287,8609,10.98
81535,11413,4719,9.47
81536,11414,1053,1.05
81537,31,10901,14.81
81538,32,8491,11.88
81539,33,7572,12.41
81540,34,676,8.85
81541,4126,326,16.39
81542,4127,104,11.77
81543,4128,10172,16.11
81544,4129,3164,0.11
81545,6173,1945,17.14
81546,6174,8473,4.71
81547,6175,9951,15.29
81548,6176,1546,8.03
81549,8220,6563,14.90
81550,8221,10631,10.85
81551,8222,9406,11.99
81552,8223,5141,10.23
81553,9243,1897,6.37
81554,9244,897,8.95
81555,9245,11088,12.79
81556,9246,2316,2.44
81557,10266,10972,11.28
81558,10267,9590,12.34
81559,10268,5566,12.99
81560,10269,8306,15.68
81561,10777,7583,1.10
81562,10778,2561,19.72
81563,10779,2655,4.71
81564,10780,5139,12.05
81565,11288,6975,6.53
81566,11289,8380,15.70
81567,11290,7421,19.58
81568,11291,9945,10.64
81569,11415,10889,5.94
81570,11416,6103,17.04
81571,11417,6827,10.25
81572,11418,8027,1.39
81573,35,2052,14.25
81574,36,116,18.27
81575,37,5980,18.92
81576,4130,1302,14.95
81577,4131,4291,13.72
81578,4132,3053,6.26
81579,6177,8256,15.41
81580,6178,6976,16.46
81581,6179,2601,14.00
81582,8224,8891,17.90
81583,8225,863,14.05
81584,8226,3128,5.95
81585,9247,7165,6.54
81586,9248,7830,10.74
81587,9249,6388,5.18
81588,10270,6382,1.81
81589,10271,8139,7.71
81590,10272,8173,10.30
81591,10781,4138,6.29
81592,10782,5072,6.72
81593,10783,3475,11.07
81594,11292,9253,9.93
81595,11293,10996,9.02
81596,11294,3246,2.09
81597,11419,7217,18.57
81598,11420,7756,13.99
81599,11421,4524,18.68
81600,38,5016,9.03
81601,4133,10072,3.43
81602,6180,1578,3.89
81603,8227,6088,3.04
81604,9250,1320,2.74
81605,10273,3660,4.67
81606,10784,2019,4.12
81607,11295,5411,16.26
81608,11422,6740,11.80
81609,39,1475,17.86
81610,4134,748,13.14
81611,6181,926,8.90
81612,8228,10860,10.89
81613,9251,8849,6.84
81614,10274,3619,11.99
81615,10785,244,6.22
81616,11296,5444,10.26
81617,11423,1091,19.02
81618,40,5118,8.94
81619,4135,9528,18.79
81620,6182,1436,16.53
81621,8229,8288,4.90
81622,9252,11021,4.34
81623,10275,1272,18.40
81624,10786,2868,10.56
81625,11297,9659,15.11
81626,11424,1925,11.97
81627,41,5269,11.44
81628,42,4887,9.60
81629,4136,923,19.49
81630,4137,6930,3.82
81631,6183,961,17.17
81632,6184,387,11.95
81633,8230,9837,12.54
81634,8231,5376,10.69
81635,9253,2476,10.19
81636,9254,9787,17.39
81637,10276,7883,18.68
81638,10277,6053,18.37
81639,10787,10681,0.89
81640,10788,3807,11.55
81641,11298,9586,11.49
81642,11299,3207,14.35
81643,11425,8045,9.25
81644,11426,1588,6.53
81645,43,2269,0.81
81646,4138,6566,16.58
81647,6185,4177,7.79
81648,8232,9146,18.81
81649,9255,2644,7.32
81650,10278,1296,9.69
81651,10789,818,18.28
81652,11300,3883,0.06
81653,11427,10777,16.67
81654,44,2911,16.15
81655,45,2813,16.82
81656,4139,4983,14.31
81657,4140,2602,0.45
81658,6186,4584,19.83
81659,6187,8040,12.75
81660,8233,226,3.77
81661,8234,9820,16.93
81662,9256,6510,7.71
81663,9257,1923,14.14
81664,10279,198,19.34
81665,10280,8703,0.19
81666,10790,7793,9.47
81667,10791,2964,18.23
81668,11301,8440,1.16
81669,11302,153,17.90
81670,11428,4828,9.69
81671,11429,1337,2.95
81672,46,4200,8.89
81673,47,1008,2.38
81674,4141,3596,5.18
81675,4142,3617,16.97
81676,6188,2977,15.84
81677,6189,1744,8.16
81678,8235,6347,12.55
81679,8236,4742,4.96
81680,9258,10713,1.38
81681,9259,5080,1.52
81682,10281,112,16.44
81683,10282,903,18.78
81684,10792,5024,8.81
81685,10793,9427,18.30
81686,11303,374,8.45
81687,11304,142,15.91
81688,11430,10460,6.26
81689,11431,8289,15.71
81690,48,7721,2.25
81691,4143,5338,1.23
81692,6190,9665,3.17
81693,8237,2073,9.12
81694,9260,8032,4.81
81695,10283,421,9.34
81696,10794,2475,14.21
81697,11305,9850,5.89
81698,11432,9093,4.04
81699,49,6222,3.79
81700,4144,3001,15.60
81701,6191,1008,2.26
81702,8238,3263,2.54
81703,9261,8407,7.93
81704,10284,7968,7.81
81705,10795,8955,17.04
81706,11306,9411,13.46
81707,11433,9198,2.29
81708,50,1038,2.45
81709,4145,3695,5.86
81710,6192,5219,9.32
81711,8239,10271,4.34
81712,9262,3519,18.60
81713,10285,7801,14.31
81714,10796,5267,4.42
81715,11307,7613,15.16
81716,11434,8216,8.35
81717,51,9701,2.14
81718,52,10228,5.50
81719,4146,6883,5.34
81720,4147,5336,11.93
81721,6193,6047,18.56
81722,6194,113,5.33
81723,8240,3351,14.13
81724,8241,7003,0.54
81725,9263,2758,3.15
81726,9264,503,15.05
81727,10286,6975,17.54
81728,10287,5608,17.78
81729,10797,10388,0.01
81730,10798,2243,0.13
81731,11308,4755,2.35
81732,11309,3388,3.41
81733,53,10447,3.66
81734,54,1085,18.78
81735,4148,4478,3.91
81736,4149,8557,5.18
81737,6195,11006,3.35
81738,6196,9698,17.09
81739,8242,7312,14.45
81740,8243,7129,0.73
81741,9265,2886,3.75
81742,9266,1789,4.81
81743,10288,8014,17.59
81744,10289,2641,10.95
81745,10799,297,9.80
81746,10800,4116,7.59
81747,11310,8767,16.02
81748,11311,7134,16.05
81749,55,998,0.81
81750,4150,10381,10.87
81751,6197,10230,19.32
81752,8244,796,9.20
81753,9267,942,0.87
81754,10290,10731,13.82
81755,10801,6246,14.68
81756,11312,10961,14.48
81757,56,7386,2.95
81758,4151,8296,5.72
81759,6198,2141,2.09
81760,8245,10518,8.26
81761,9268,2540,18.05
81762,10291,9219,8.69
81763,10802,7641,2.60
81764,11313,6575,11.27
81765,57,514,10.79
81766,4152,6222,3.54
81767,6199,2312,10.15
81768,8246,10183,1.05
81769,9269,5760,8.61
81770,10292,6664,14.07
81771,10803,8012,9.80
81772,11314,3221,19.55
81773,58,216,3.28
81774,59,8487,6.42
81775,4153,3533,12.48
81776,4154,1855,19.24
81777,6200,3457,13.33
81778,6201,4469,0.16
81779,8247,9284,2.96
81780,8248,2650,14.92
81781,9270,171,16.77
81782,9271,1639,4.41
81783,10293,7340,12.75
81784,10294,2318,2.58
81785,10804,226,14.28
81786,10805,5678,8.17
81787,11315,5700,6.71
81788,11316,1555,13.86
81789,60,497,2.90
81790,61,6574,10.38
81791,4155,9159,11.17
81792,4156,3584,18.71
81793,6202,7921,15.05
81794,6203,6966,17.46
81795,8249,5425,16.36
81796,8250,6988,13.72
81797,9272,6063,13.34
81798,9273,7798,10.05
81799,10295,4566,10.88
81800,10296,5445,16.29
81801,10806,6721,11.54
81802,10807,809,12.65
81803,11317,10516,16.54
81804,11318,3349,0.46
81805,62,2369,19.90
81806,63,3744,13.94
81807,64,5303,5.82
81808,4157,292,5.15
81809,4158,2319,5.39
81810,4159,8047,16.14
81811,6204,9625,18.09
81812,6205,10309,18.39
81813,6206,9093,6.56
81814,8251,2096,19.15
81815,8252,2486,4.88
81816,8253,6119,0.35
81817,9274,4864,2.67
81818,9275,3958,7.56
81819,9276,9166,19.68
81820,10297,4997,5.87
81821,10298,1327,14.33
81822,10299,2492,19.41
81823,10808,2012,19.84
81824,10809,4662,2.36
81825,10810,3713,6.28
81826,11319,6336,18.09
81827,11320,9073,7.25
81828,11321,4079,14.90
81829,65,6966,17.90
81830,4160,6633,5.91
81831,6207,7683,11.30
81832,8254,8381,1.42
81833,9277,1076,5.39
81834,10300,644,9.61
81835,10811,2553,14.10
81836,11322,9323,1.47
81837,66,9509,1.04
81838,67,7741,6.45
81839,4161,5858,13.28
81840,4162,8245,14.25
81841,6208,3782,11.23
81842,6209,8781,5.21
81843,8255,10398,17.82
81844,8256,7255,11.73
81845,9278,10874,2.52
81846,9279,7780,2.35
81847,10301,5452,1.94
81848,10302,179,15.77
81849,10812,9965,2.23
81850,10813,9690,0.39
81851,11323,5396,7.33
81852,11324,4194,15.70
81853,68,8853,12.44
81854,4163,8056,15.07
81855,6210,6619,14.28
81856,8257,8751,15.79
81857,9280,6556,11.53
81858,10303,1291,17.00
81859,10814,10026,19.11
81860,11325,840,10.20
81861,69,3603,1.78
81862,4164,5266,1.99
81863,6211,865,1.80
81864,8258,2419,16.33
81865,9281,4789,14.04
81866,10304,2450,19.88
81867,10815,3442,11.30
81868,11326,9968,15.70
81869,70,2639,16.62
81870,4165,4924,14.40
81871,6212,3044,4.14
81872,8259,2388,9.04
81873,9282,6851,14.45
81874,10305,8527,13.27
81875,10816,202,2.01
81876,11327,4979,18.72
81877,71,3757,17.60
81878,72,4321,6.02
81879,73,3772,15.85
81880,4166,10521,7.00
81881,4167,10166,10.36
81882,4168,9441,13.78
81883,6213,9998,8.52
81884,6214,4842,17.95
81885,6215,2020,4.30
81886,8260,5915,0.24
81887,8261,5184,5.86
81888,8262,753,9.18
81889,9283,1035,1.75
81890,9284,1758,10.55
81891,9285,1823,4.72
81892,10306,7678,14.82
81893,10307,7069,19.06
81894,10308,9569,8.81
81895,10817,6918,15.75
81896,10818,804,19.98
81897,10819,8656,17.85
81898,11328,1434,19.34
81899,11329,4978,6.73
81900,11330,3781,13.79
81901,74,4779,1.56
81902,75,1135,5.51
81903,76,793,10.60
81904,4169,4859,11.86
81905,4170,7281,9.86
81906,4171,5596,0.70
81907,6216,7409,4.49
81908,6217,1389,19.01
81909,6218,4208,0.78
81910,8263,684,3.79
81911,8264,8506,5.05
81912,8265,10793,1.84
81913,9286,6114,9.43
81914,9287,7892,2.64
81915,9288,5910,5.20
81916,10309,7877,15.17
81917,10310,7454,1.46
81918,10311,3959,11.19
81919,10820,8135,19.53
81920,10821,7665,10.29
81921,10822,5644,19.84
81922,11331,4868,4.24
81923,11332,8316,2.01
81924,11333,2912,0.12
81925,77,2733,4.19
81926,78,3463,18.54
81927,4172,7809,14.55
81928,4173,5934,9.66
81929,6219,9073,12.55
81930,6220,7702,11.56
81931,8266,9049,6.65
81932,8267,2471,2.26
81933,9289,10015,3.21
81934,9290,1138,0.60
81935,10312,9378,2.48
81936,10313,1024,1.75
81937,10823,1810,11.00
81938,10824,2919,13.23
81939,11334,5789,12.34
81940,11335,5826,15.35
81941,79,2959,0.55
81942,80,3786,12.37
81943,81,790,9.99
81944,4174,3176,18.56
81945,4175,8720,2.69
81946,4176,3577,4.07
81947,6221,605,13.21
81948,6222,1545,14.26
81949,6223,1654,12.08
81950,8268,6384,1.14
81951,8269,6269,12.92
81952,8270,6007,15.22
81953,9291,2070,12.94
81954,9292,7520,8.78
81955,9293,1853,10.32
81956,10314,905,17.16
81957,10315,517,13.16
81958,10316,1672,15.54
81959,10825,4847,16.93
81960,10826,10289,1.69
81961,10827,7205,19.69
81962,11336,10913,18.99
81963,11337,8972,3.64
81964,11338,5477,18.29
81965,82,1067,14.72
81966,4177,4355,14.99
81967,6224,6382,12.38
81968,8271,4159,0.25
81969,9294,10461,13.27
81970,10317,5538,9.96
81971,10828,11079,9.70
81972,11339,4875,14.71
81973,83,4037,12.15
81974,84,10574,18.56
81975,4178,8789,3.30
81976,4179,5060,15.58
81977,6225,5905,6.33
81978,6226,11021,0.05
81979,8272,462,4.00
81980,8273,9737,15.51
81981,9295,2812,18.73
81982,9296,10296,16.33
81983,10318,3402,1.59
81984,10319,5350,3.31
81985,10829,4272,8.48
81986,10830,10762,11.29
81987,11340,10249,18.23
81988,11341,8842,4.77
81989,85,8996,6.54
81990,86,2332,1.33
81991,4180,7846,6.51
81992,4181,5686,11.58
81993,6227,4032,1.49
81994,6228,3171,4.03
81995,8274,1709,3.26
81996,8275,3933,5.57
81997,9297,3699,16.53
81998,9298,1495,3.85
81999,10320,6239,4.51
82000,10321,4943,10.91
82001,10831,4381,6.65
82002,10832,5360,8.21
82003,11342,6773,16.22
82004,11343,2559,14.33
82005,87,9919,6.16
82006,88,9643,8.17
82007,4182,4920,19.71
82008,4183,6700,1.07
82009,6229,5119,2.81
82010,6230,3584,3.78
82011,8276,10899,6.59
82012,8277,7903,11.24
82013,9299,7564,14.25
82014,9300,5819,9.54
82015,10322,9096,13.11
82016,10323,9184,3.20
82017,10833,3613,2.86
82018,10834,8246,5.52
82019,11344,1758,19.22
82020,11345,3683,15.44
82021,89,9640,0.32
82022,90,5364,7.23
82023,91,4019,14.43
82024,4184,5828,9.09
82025,4185,7801,2.84
82026,4186,6744,12.10
82027,6231,2290,4.29
82028,6232,5065,12.65
82029,6233,8863,1.71
82030,8278,416,18.61
82031,8279,6016,18.23
82032,8280,10411,18.87
82033,9301,10134,14.46
82034,9302,9833,4.98
82035,9303,6602,4.40
82036,10324,3562,18.81
82037,10325,8254,17.75
82038,10326,2358,7.94
82039,10835,3888,11.12
82040,10836,8145,19.83
82041,10837,8487,16.77
82042,11346,10056,0.06
82043,11347,3397,10.33
82044,11348,7416,15.66
82045,92,10181,4.52
82046,93,4293,5.01
82047,4187,1062,14.51
82048,4188,3797,10.59
82049,6234,6937,10.57
82050,6235,8607,5.62
82051,8281,947,11.64
82052,8282,7287,10.56
82053,9304,7524,15.93
82054,9305,10605,7.52
82055,10327,245,19.63
82056,10328,9353,5.17
82057,10838,8588,1.65
82058,10839,1095,4.87
82059,11349,10277,17.73
82060,11350,7370,13.03
82061,94,3022,8.06
82062,4189,2216,15.75
82063,6236,3778,6.71
82064,8283,7321,5.68
82065,9306,4954,7.49
82066,10329,5969,11.18
82067,10840,2067,5.04
82068,11351,7808,15.06
82069,95,7345,0.83
82070,96,2516,0.13
82071,4190,3948,15.08
82072,4191,7849,5.30
82073,6237,2321,4.96
82074,6238,6831,6.52
82075,8284,8764,19.20
82076,8285,4879,6.23
82077,9307,2690,5.49
82078,9308,7192,8.18
82079,10330,1172,6.00
82080,10331,2045,0.38
82081,10841,6052,13.24
82082,10842,7556,8.18
82083,11352,76,16.15
82084,11353,192,13.27
82085,97,2956,6.75
82086,98,9923,8.91
82087,99,6154,8.56
82088,4192,5354,2.43
82089,4193,1829,9.14
82090,4194,8814,11.79
82091,6239,6358,1.77
82092,6240,8093,7.43
82093,6241,7524,5.32
82094,8286,3356,14.20
82095,8287,7174,1.88
82096,8288,5960,7.92
82097,9309,4159,13.60
82098,9310,3114,7.17
82099,9311,10600,13.76
82100,10332,6471,16.88
82101,10333,5283,16.85
82102,10334,8759,8.18
82103,10843,7602,3.78
82104,10844,9965,18.21
82105,10845,9636,11.97
82106,11354,4390,3.54
82107,11355,7804,19.52
82108,11356,8627,18.98
82109,100,4658,4.92
82110,101,10846,2.71
82111,4195,8379,7.17
82112,4196,5940,11.87
82113,6242,4067,0.95
82114,6243,1562,11.19
82115,8289,4201,4.16
82116,8290,10109,18.36
82117,9312,9619,11.36
82118,9313,2754,10.65
82119,10335,10251,0.16
82120,10336,3075,7.15
82121,10846,10665,14.40
82122,10847,8058,9.22
82123,11357,1474,5.58
82124,102,11112,3.11
82125,103,8701,8.86
82126,104,9673,0.35
82127,4197,5327,6.83
82128,4198,3024,6.68
82129,4199,9512,5.44
82130,6244,8861,3.30
82131,6245,4859,13.76
82132,6246,1446,11.71
82133,8291,5984,18.64
82134,8292,533,8.85
82135,8293,775,0.41
82136,9314,9930,8.03
82137,9315,3663,8.84
82138,9316,2477,15.74
82139,10337,2969,19.47
82140,10338,736,8.21
82141,10339,9506,0.80
82142,10848,7080,1.24
82143,10849,4460,16.36
82144,10850,9887,19.76
82145,105,3061,8.22
82146,106,2555,18.30
82147,107,9855,13.67
82148,4200,8468,15.08
82149,4201,5429,3.54
82150,4202,4691,11.53
82151,6247,6877,7.21
82152,6248,10543,13.13
82153,6249,4907,4.70
82154,8294,9468,11.00
82155,8295,2202,6.78
82156,8296,1125,9.77
82157,9317,1549,4.61
82158,9318,8178,19.67
82159,9319,7917,12.15
82160,10340,10051,13.88
82161,10341,8448,14.29
82162,10342,3286,6.65
82163,10851,8646,17.74
82164,10852,1167,17.26
82165,10853,11126,8.22
82166,108,605,0.78
82167,4203,370,0.97
82168,6250,1586,11.35
82169,8297,4551,6.86
82170,9320,5421,8.14
82171,10343,6396,13.04
82172,10854,5969,14.51
82173,109,215,18.38
82174,110,5985,18.64
82175,111,512,8.68
82176,4204,368,17.25
82177,4205,2382,9.65
82178,4206,8561,8.00
82179,6251,7698,5.18
82180,6252,2440,6.39
82181,6253,10454,14.78
82182,8298,9751,3.29
82183,8299,2165,9.57
82184,8300,9003,12.19
82185,9321,6914,5.55
82186,9322,5831,15.75
82187,9323,4055,9.20
82188,10344,2300,13.07
82189,10345,7195,5.46
82190,10346,4738,6.19
82191,10855,3006,8.44
82192,10856,3344,4.72
82193,10857,3092,13.63
82194,112,6394,16.56
82195,113,4641,12.01
82196,4207,8371,19.19
82197,4208,6015,16.48
82198,6254,5552,0.44
82199,6255,6835,0.09
82200,8301,2006,17.75
82201,8302,9980,16.44
82202,9324,4661,12.57
82203,9325,9858,10.89
82204,10347,707,13.69
82205,10348,2589,2.19
82206,10858,9451,18.36
82207,10859,475,9.18
82208,114,1859,9.16
82209,4209,8781,11.43
82210,6256,5463,14.79
82211,8303,2509,18.16
82212,9326,9624,11.99
82213,10349,4487,4.35
82214,10860,9758,14.65
82215,115,360,19.28
82216,116,8036,14.39
82217,4210,4786,19.85
82218,4211,7476,7.64
82219,6257,9948,6.48
82220,6258,10447,14.44
82221,8304,8820,15.95
82222,8305,6783,13.11
82223,9327,4986,5.49
82224,9328,304,6.27
82225,10350,5403,9.74
82226,10351,10898,8.71
82227,10861,2661,17.79
82228,10862,8111,19.53
82229,117,7754,11.08
82230,4212,7558,14.69
82231,6259,7060,19.38
82232,8306,10468,15.95
82233,9329,1836,8.65
82234,10352,7418,0.73
82235,10863,2023,15.99
82236,118,5044,17.35
82237,4213,10866,5.62
82238,6260,5279,10.60
82239,8307,2509,10.76
82240,9330,160,9.14
82241,10353,2696,16.80
82242,10864,5273,16.98
82243,119,9166,11.43
82244,120,4294,4.30
82245,4214,10208,18.84
82246,4215,10648,19.18
82247,6261,10294,14.96
82248,6262,10726,11.52
82249,8308,11009,4.36
82250,8309,1364,19.17
82251,9331,4721,4.92
82252,9332,10649,0.95
82253,10354,4066,13.70
82254,10355,3665,11.83
82255,10865,10783,1.42
82256,10866,4980,0.50
82257,121,8700,16.69
82258,122,9210,12.69
82259,123,7668,10.85
82260,4216,7168,11.87
82261,4217,402,7.99
82262,4218,9892,4.93
82263,6263,6299,1.81
82264,6264,8389,9.97
82265,6265,2559,13.09
82266,8310,6487,19.02
82267,8311,75,3.60
82268,8312,9803,17.29
82269,9333,7549,15.99
82270,9334,10694,8.15
82271,9335,1723,11.02
82272,10356,3243,16.07
82273,10357,1602,6.17
82274,10358,1239,12.61
82275,10867,9113,4.06
82276,10868,6210,3.63
82277,10869,2600,12.47
82278,124,4634,4.23
82279,4219,8996,8.16
82280,6266,6827,16.88
82281,8313,4231,7.37
82282,9336,7820,8.15
82283,10359,10344,8.51
82284,10870,3766,8.32
82285,125,710,1.43
82286,126,1841,12.26
82287,127,6331,0.11
82288,4220,3569,11.74
82289,4221,10828,2.09
82290,4222,6702,13.97
82291,6267,7625,6.62
82292,6268,6661,0.01
82293,6269,2299,0.63
82294,8314,5985,11.89
82295,8315,4007,0.32
82296,8316,4,19.06
82297,9337,8513,19.31
82298,9338,5930,15.35
82299,9339,2670,17.93
82300,10360,8475,2.39
82301,10361,3469,4.01
82302,10362,753,14.73
82303,10871,5343,3.81
82304,10872,5711,19.88
82305,10873,4787,3.38
82306,128,6171,5.31
82307,4223,7393,10.50
82308,6270,7043,11.78
82309,8317,503,9.19
82310,9340,1804,8.64
82311,10363,7485,1.36
82312,10874,3573,8.04
82313,129,525,0.59
82314,4224,65,18.81
82315,6271,7624,12.09
82316,8318,10754,0.38
82317,9341,2179,18.44
82318,10364,242,6.86
82319,10875,7239,4.47
82320,130,1838,3.11
82321,131,3147,18.94
82322,4225,9857,11.77
82323,4226,3180,13.26
82324,6272,5086,5.93
82325,6273,1241,13.35
82326,8319,49,0.37
82327,8320,891,6.88
82328,9342,5353,7.45
82329,9343,4675,19.65
82330,10365,7258,6.27
82331,10366,6810,2.37
82332,10876,8425,8.59
82333,10877,9758,1.92
82334,132,9438,19.07
82335,133,2478,5.06
82336,4227,6639,4.48
82337,4228,3688,19.69
82338,6274,10320,13.68
82339,6275,7103,2.79
82340,8321,8700,9.82
82341,8322,1223,1.52
82342,9344,567,0.52
82343,9345,10884,16.25
82344,10367,1414,3.96
82345,10368,6784,9.07
82346,10878,4894,16.75
82347,10879,9673,16.67
82348,134,6222,5.91
82349,4229,8893,2.20
82350,6276,1693,8.61
82351,8323,7755,3.85
82352,9346,9703,15.64
82353,10369,3286,2.59
82354,10880,8480,8.44
82355,135,9156,16.97
82356,136,8620,6.55
82357,137,3480,11.63
82358,4230,10796,2.12
